Year,DAFM Slaughter plants,Disposal in LA Abattoirs,Exports,Farm to Farm,Marts,Calves Born by Sire Fresian,Calves Born by Sire Limousin,Calves Born by Sire Aberdeen Angus, Calves Born by Sire Charolais,Calves Born by Sire Hereford,Calves Born by Sire Belgian Blue,Beef breeds male 18-24 months,Beef breeds male 24-30,beef breeds male 30 months +,Beef breeds female 18-24 months,Beef breeds female 24-30,beef breeds female 30 months +,Age >25,Age 25-49,Age 50-74,Age 75-99,Age 100+,Born to a beef bull,Born to a dairy Bull
2011,1570323,72935,215780,1027286,1655770,690297,382919,215535,385840,129542,107367,153966,205297,220527,136235,157292,233696,44150,23938,12724,7868,17332,1346870,738681
2012,1400858,83054,162038,1053544,1625660,711812,427416,238479,402973,134998,103506,160454,176875,158640,125493,129559,196563,43461,24078,12946,8148,18705,1453821,748630
2013,1499551,88754,212369,1099607,1723498,732096,388986,234534,356618,130702,74740,150271,173375,152308,124803,144160,227039,44004,23896,12702,7896,18692,1321579,773286
2014,1648258,100725,239993,1095022,1697188,711766,395908,269098,357922,157699,69086,147509,224446,163079,127406,190239,241972,43356,23789,12407,7691,18444,1386875,744173
2015,1563824,100414,182482,1223431,1717558,733332,416181,321964,362268,190030,65380,141885,238154,153068,131798,175207,204859,42433,23946,12651,7864,19051,1501101,762666
2016,1642334,102598,145570,1262596,1755803,770569,416706,346772,344389,205748,58690,169662,254946,127273,153909,177469,199598,41092,23636,12485,7864,19766,1520860,803436
2017,1746384,105175,188874,1317443,1810495,763723,425924,387488,322185,243196,52945,171876,284689,125119,160085,198364,213587,40394,23101,12123,7698,19933,1585444,764716
2018,1802673,92639,246629,1180950,1732832,743442,407887,394690,303737,253390,45085,173001,264116,136098,163919,208480,224407,40033,22697,11880,7473,19626,1561148,786816
2019,1745594,106861,301563,1301334,1669138,748093,400359,395441,301349,258962,40348,176461,258602,146926,165050,221772,217718,39637,22576,11813,7397,19344,1552122,798926
2020,1785481,96116,265652,1636447,1530690,762097,398182,408283,304694,265310,44347,164045,301823,137301,171728,231213,214548,39179,22825,12034,7290,19077,1582133,805688
2021,1687235,105074,247612,1542362,1842098,809848,388373,415438,299511,257028,50033,170742,299153,100554,176335,208630,180360,38360,22686,11887,7311,19580,1581440,850242
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,https://data.gov.ie/dataset/national-trends-in-bovine-data-2011-2021?package_type=dataset,,,,,,,,,,,,,,,,,,
